feed_id,feed_name,feed_category,feed_subcategory,dry_matter_percent,crude_protein_dm_pct,crude_fiber_dm_pct,ether_extract_dm_pct,tdn_dm_pct,me_mj_per_kg_dm,ndf_dm_pct,adf_dm_pct,calcium_g_per_kg,phosphorus_g_per_kg,total_ash_dm_pct,season,indian_region
IN_GF_001,Maize Fodder (Green),Green Roughage,Non-Legume,22.0,8.5,28.0,2.1,58.0,8.8,56.0,32.0,4.5,2.2,8.5,Kharif/Summer,All India
IN_GF_002,Sorghum / Jowar Fodder (Green),Green Roughage,Non-Legume,24.0,7.2,30.5,1.8,54.0,8.2,62.0,36.0,4.0,2.0,9.0,Kharif,Central/Western
IN_GF_003,Bajra / Pearl Millet Fodder (Green),Green Roughage,Non-Legume,20.0,8.0,29.0,1.9,55.0,8.3,58.0,34.0,4.2,2.1,9.2,Kharif,North-West/Central
IN_GF_004,Hybrid Napier (CO-3 / CO-4 / CO-5),Green Roughage,Non-Legume Perennial,18.5,9.2,27.5,2.2,56.5,8.5,57.0,33.0,5.0,2.5,10.5,Perennial,South/West/East
IN_GF_005,Guinea Grass (Panicum maximum),Green Roughage,Non-Legume Perennial,20.0,8.8,31.0,1.7,52.0,7.9,64.0,38.0,4.8,2.2,11.0,Perennial,South/East
IN_GF_006,Para Grass (Brachiaria mutica),Green Roughage,Non-Legume Wetland,17.0,7.8,30.0,1.6,51.0,7.7,65.0,37.0,4.1,2.0,11.5,Perennial,Coastal/Wetland
IN_GF_007,Oat Fodder (Avena sativa),Green Roughage,Non-Legume Rabi,19.0,10.5,25.0,2.5,60.0,9.1,52.0,30.0,4.6,2.8,9.0,Rabi/Winter,North/Central
IN_GL_008,Berseem / Egyptian Clover (Green),Green Roughage,Legume Rabi,15.0,18.5,21.0,2.8,62.0,9.4,42.0,26.0,14.5,3.2,12.0,Rabi/Winter,North/Central
IN_GL_009,Lucerne / Alfalfa (Medicago sativa),Green Roughage,Legume Perennial,20.0,20.0,22.5,2.6,60.0,9.1,44.0,28.0,15.0,3.0,10.8,Year-Round,Western/South/North
IN_GL_010,Cowpea Fodder (Vigna unguiculata),Green Roughage,Legume Kharif,16.5,16.5,23.0,2.4,58.5,8.9,46.0,30.0,13.0,3.1,11.2,Kharif,All India
IN_GL_011,Hedge Lucerne / Desmanthus,Green Roughage,Legume Perennial,23.0,19.0,24.0,2.5,57.0,8.6,48.0,31.0,16.0,2.8,9.8,Perennial,South/Central
IN_GL_012,Azolla pinnata (Fresh Biomass),Green Supplement,Aquatic Fern,7.5,24.5,14.0,3.5,65.0,9.8,38.0,22.0,18.0,5.5,16.0,Year-Round,All India
IN_DR_013,Paddy Straw (Oryza sativa),Dry Roughage,Cereal Straw,90.0,3.8,36.0,1.2,42.0,6.4,72.0,48.0,3.5,1.2,16.5,Annual,South/East/North
